"globalid","bv_7gr_gi","bv_7jb_ba","bv_7jb_bt","bv_7jb_si","bv_7tk","bv_7se","bv_ad_te","bv_km_bt","bv_km_tk","bv_km_se"
"{70476214-4C11-4AEA-8275-7E5B6F3DD915}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{36BAE83E-F412-4C90-8B56-DE6B4225BB17}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{12B570B4-F7AF-41F6-86D4-83A5573EED2A}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{662B047A-411B-42F1-8F2F-E24602CBF350}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{F003E630-94CD-4FFF-839B-772299BF697A}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{F8239C33-99BD-4EEE-85A9-04A10772858D}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{95E184F4-9560-4ADC-A7A9-75AD9A97D654}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{6C11D423-9559-4C61-9036-C1309E0C6328}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{D331E117-DACA-4750-A198-028D1356340B}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{3A094E49-FDB7-4219-9D56-FFA94A7670D1}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{0708F482-BA9B-432C-9BE4-0A18AC3E19EA}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{E9C62BB1-E07C-468E-ADF0-6653DC0D71F0}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{A24A765B-A1B4-4AF7-A1B9-A4A3F61F6295}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{F793C8C1-C160-4F51-89E7-51AF1E1DC0EF}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{9A63D20E-0A4C-41BF-8924-7B7B81B4F8B8}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{5F2194C1-D35E-4CA7-A7FA-75BFA0F460F2}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{4000DBF0-4786-41BC-A2DB-60FCD2289D18}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{FD496202-8EFC-411A-A1B4-4919258F0630}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{CD5636F5-9E69-42C9-AA98-AED79C5438DA}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{CCC71FF7-57C6-468E-889E-63B290A3C086}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{6E325FD4-CDD9-486E-92B9-E941289BD61D}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_1","7SE_0","AD-TE_0",NA,"KM-TK_1","KM-SE_0"
"{387D0E15-EB32-4080-B750-18BB08006EF4}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{7733FE1D-1262-47E4-9902-7993C7C9AEB0}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{696EB366-510B-4FF1-893E-2BF33BB13822}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{E5D5B42C-B7FF-4E03-9971-8992238614FB}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{67BECF0E-AA0C-4413-8D9D-34F1662D4AC9}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{7ED881E4-BC9C-4461-A98D-F7026E080F5C}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{068143B6-82FA-4BCC-81F4-AA2D6008CD29}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{B1B3BE64-D329-40E0-B8F7-AF3093120824}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{5B181D5C-903C-47B9-9DC7-A682A00682B0}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{D7BFE943-8527-4DE1-B48C-7E258611FC30}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{01231911-0876-0101-2ABC-000000001063}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{01231911-0876-0101-2ABC-000000001064}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{01231911-0876-0101-2ABC-000000001065}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{01231911-0876-0101-2ABC-000000001066}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{01231911-0876-0101-2ABC-000000001067}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{01231911-0876-0101-2ABC-000000001068}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{3A535CB7-F7FF-4A24-9670-5B0FE77081F5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{03952386-A560-46AB-A4DD-A4DEB6A63CF7}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{29C596CE-2D1C-49FF-ABA1-315C32C7A522}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{FA5C93E7-DD75-48BD-9E8B-2F47BCEF852F}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{7D411B12-A974-4935-A7F5-93A7416F96A2}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{DB664F74-3CDC-4E9B-9418-A27FDA871516}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{1897987A-5403-4609-9DD5-AFE4213C80B2}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{2934360C-D465-4A02-87D0-EA2BE8C8E2B4}",NA,NA,"7JB-BT_1",NA,"7TK_2",NA,NA,"7KM-BT_0","KM-TK_2",NA
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{BC430570-5ECD-46D7-907A-FC7FEBE9913C}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{2411EB28-B5E5-4952-BCF7-CFDE1E2B6FAB}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{4293B206-CF63-4088-B04D-2F96B09240EE}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{6A82CBAF-BD0F-40EE-9ECD-679D064DA5D2}","7GR-GI_X","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0",NA,NA,"KM-TK_0","KM-SE_0"
"{6D37501A-DD75-4720-A84D-7EC4F4046772}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{099FA4A7-0150-4390-8DC6-64C28B919F3F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{1DEC97B8-D2D6-416A-B07F-BC2C10B1E1B5}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{736EFDFC-4033-4EF4-A628-7EDDFF70E3A8}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{A07600EF-1B69-4F56-B5A8-0C34FE1B8E01}","7GR-GI_1","7JB-BA_2",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{DEFCF2D7-2F86-401E-ACFB-674C8AA2260C}","7GR-GI_1","7JB-BA_2",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{407934A3-5972-4C22-B993-58CA97C3FF4B}","7GR-GI_1","7JB-BA_2",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{548DC95C-FA7F-4744-B45C-FB70905739E7}",NA,NA,"7JB-BT_2",NA,"7TK_0",NA,NA,"7KM-BT_1","KM-TK_0",NA
"{6FC9AF81-CCEC-4899-B9F0-8088CA16BD1D}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{16717409-8773-4FD3-A196-C05ACD497420}",NA,NA,"7JB-BT_2",NA,"7TK_0",NA,NA,"7KM-BT_1","KM-TK_0",NA
"{CF04FC84-F117-4810-9088-8D5E06A10A7D}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{D00C390A-F8CB-4F43-9E11-44F4E90D0B42}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{2115CE7C-2AFA-4502-A878-83E1AA949529}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{B5B730DD-8CCC-4931-A483-0F87D0FAA777}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{27A879FD-3DD3-48BB-A6D3-FBE440C7108A}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{EA36FD54-E3E9-49BA-B6D5-5E3D0D7C2DA0}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{61B42720-6481-4D94-A244-B47C16657BF9}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{C0594346-C084-4D61-9C4D-4B0C0D50DD83}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{A9C2EFE3-EA42-4E5E-879D-195C75A7B857}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{750E85A1-068A-4A86-9D13-0C0FD3DAF816}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_0",NA,"7KM-BT_1","KM-TK_0","KM-SE_0"
"{4A39F7AF-7AA2-4AAA-9907-E52D08268186}",NA,NA,"7JB-BT_2",NA,"7TK_0","7SE_1",NA,"7KM-BT_1","KM-TK_0","KM-SE_1"
"{14CF9106-FE2B-4E03-B0DC-5AE32AFD1E7F}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{63BEE88A-40F9-48C9-B7C7-82960DCA63E5}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{F895016D-46E3-4DC4-81AC-22060D841C05}",NA,"7JB-BA_1","7JB-BT_1","7JB-SI_1",NA,NA,NA,"7KM-BT_0",NA,NA
"{C646D4CD-CCD9-474F-9FEE-B64E8D681BBF}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{0ED706D6-5AE6-47AF-A78F-6709C16A865B}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{6379CB55-7917-486D-94F6-535A2B7F4A56}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{F01F8D2A-3AFE-4973-8F4C-D2753473072D}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{287A06BD-4313-4015-B6A4-A97558C10BE2}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{984D28FA-D169-413F-8765-B36B321C8D47}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{6FFA82E4-805D-4453-AA2F-659A56471937}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{2E22F884-AB7C-48EB-8DD9-A8AD344B9734}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
"{5A48D564-B8BB-4823-851B-0D2A390E1DBA}",NA,NA,"7JB-BT_1",NA,"7TK_0",NA,NA,"7KM-BT_0","KM-TK_0",NA
