"globalid","kartleggingsenhet_1m2","ano_GT"
"{3A535CB7-F7FF-4A24-9670-5B0FE77081F5}","T",NA
"{03952386-A560-46AB-A4DD-A4DEB6A63CF7}","T",NA
"{29C596CE-2D1C-49FF-ABA1-315C32C7A522}","T",NA
"{FA5C93E7-DD75-48BD-9E8B-2F47BCEF852F}","T4-C-1","NA T4-1"
"{7D411B12-A974-4935-A7F5-93A7416F96A2}","T4-C-9","NA T4-9"
"{DB664F74-3CDC-4E9B-9418-A27FDA871516}","T1-C-9","NA T1-83"
"{1897987A-5403-4609-9DD5-AFE4213C80B2}","T4-C-1","NA T4-1"
"{2934360C-D465-4A02-87D0-EA2BE8C8E2B4}","T4-C-1","NA T4-1"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-69"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-61"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-33"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-62"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-70"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-41"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-2"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-21"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-42"
"{D6DC4105-7DB4-4579-9D4E-F592704A47BF}","T1-C-1","NA T1-1"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-69"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-61"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-33"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-62"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-70"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-41"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-2"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-21"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-42"
"{3A405BD1-5DFE-4F5D-BBC6-600B19E2DCCC}","T1-C-1","NA T1-1"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-44"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-43"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-3"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-23"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-22"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-4"
"{611DAF0B-18F7-4365-8F3A-E69DF8666C46}","T1-C-2","NA T1-34"
"{BC430570-5ECD-46D7-907A-FC7FEBE9913C}","T4-C-5","NA T4-5"
"{2411EB28-B5E5-4952-BCF7-CFDE1E2B6FAB}","T",NA
"{4293B206-CF63-4088-B04D-2F96B09240EE}","T4-C-5","NA T4-5"
"{6A82CBAF-BD0F-40EE-9ECD-679D064DA5D2}","V10-C-1","NA V10-1"
"{6D37501A-DD75-4720-A84D-7EC4F4046772}","T40-C-1","T40-1"
"{099FA4A7-0150-4390-8DC6-64C28B919F3F}","T",NA
"{1DEC97B8-D2D6-416A-B07F-BC2C10B1E1B5}","T4-C-5","NA T4-5"
"{736EFDFC-4033-4EF4-A628-7EDDFF70E3A8}","T3-C-4","NA T3-4"
"{A07600EF-1B69-4F56-B5A8-0C34FE1B8E01}","V1-C-6","NA V1-24"
"{A07600EF-1B69-4F56-B5A8-0C34FE1B8E01}","V1-C-6","NA V1-23"
"{DEFCF2D7-2F86-401E-ACFB-674C8AA2260C}","V1-C-5","NA V1-22"
"{DEFCF2D7-2F86-401E-ACFB-674C8AA2260C}","V1-C-5","NA V1-21"
"{407934A3-5972-4C22-B993-58CA97C3FF4B}","V1-C-6","NA V1-24"
"{407934A3-5972-4C22-B993-58CA97C3FF4B}","V1-C-6","NA V1-23"
"{548DC95C-FA7F-4744-B45C-FB70905739E7}","T4-C-18","NA T4-18"
"{6FC9AF81-CCEC-4899-B9F0-8088CA16BD1D}","T13-C-1","NA T13-1"
"{16717409-8773-4FD3-A196-C05ACD497420}","T4-C-2","NA T4-2"
"{CF04FC84-F117-4810-9088-8D5E06A10A7D}","T3-C-5","NA T3-5"
"{D00C390A-F8CB-4F43-9E11-44F4E90D0B42}","T3-C-5","NA T3-5"
"{2115CE7C-2AFA-4502-A878-83E1AA949529}","T3-C-5","NA T3-5"
"{B5B730DD-8CCC-4931-A483-0F87D0FAA777}","T3-C-4","NA T3-4"
"{27A879FD-3DD3-48BB-A6D3-FBE440C7108A}","T3-C-5","NA T3-5"
"{EA36FD54-E3E9-49BA-B6D5-5E3D0D7C2DA0}","T3-C-5","NA T3-5"
"{61B42720-6481-4D94-A244-B47C16657BF9}","ikke_kartlagt",NA
"{C0594346-C084-4D61-9C4D-4B0C0D50DD83}","T14-C-1","NA T14-1"
"{A9C2EFE3-EA42-4E5E-879D-195C75A7B857}","T3-C-4","NA T3-4"
